,donor,amount
0,Australia,97604536
1,Austria,26033022
2,Belgium,100684291
3,Canada,514871395
4,Denmark,82713317
5,Finland,25742921
6,France,465603349
7,Germany,774029692
8,Italy,148807251
9,Japan,6980516641
10,Kuwait,26568263
11,Liechtenstein,223690
12,Netherlands,341681057
13,Norway,130305061
14,Portugal,100751
15,Spain,92988572
16,Sweden,235085485
17,Switzerland,113913819
18,United Kingdom,1111653774
19,United States of America,6962605173
