code,year,amount
52010,2003,68499486
53030,2003,74620674
14020,2004,349434321
16010,2004,798346787
21030,2004,678991354
21050,2004,513119049
22020,2004,3685399
23020,2004,1350242
32120,2004,7331241
52010,2004,55489278
14020,2005,659756591
16010,2005,767745257
21030,2005,223491419
21050,2005,410669869
22020,2005,595366
23020,2005,185195321
32120,2005,6703637
52010,2005,55286743
14020,2006,398233055
16010,2006,1499429450
21030,2006,697248639
21050,2006,278918
22020,2006,198757
23020,2006,885071
32120,2006,9213317
52010,2006,54296114
14020,2007,1258260936
16010,2007,395109872
21030,2007,161756943
21050,2007,777396
22020,2007,243478
23020,2007,132164
32120,2007,2652404
52010,2007,40129127
14020,2008,372928891
16010,2008,709173539
21030,2008,1945744781
21050,2008,947246
22020,2008,62893
23020,2008,888204
32120,2008,5278467
52010,2008,25600771
53030,2008,71540
14020,2009,19242981
16010,2009,718831369
21030,2009,1726078347
21050,2009,2206650
22020,2009,486644
23020,2009,86235329
32120,2009,7334558
52010,2009,15217052
14020,2010,1896684
16010,2010,261518310
21030,2010,2769998813
21050,2010,1015388
22020,2010,2603981
23020,2010,3210153
32120,2010,78456408
52010,2010,9043546
53030,2010,1896
14020,2011,148363024
16010,2011,147275141
21030,2011,436777967
21050,2011,4105579
22020,2011,774579
23020,2011,200948
32120,2011,15188216
52010,2011,5439686
14020,2012,756184963
16010,2012,82342097
21030,2012,1619976788
21050,2012,4397101
22020,2012,1611860
23020,2012,49672035
32120,2012,2569208
52010,2012,4028427
14020,2013,148222619
16010,2013,78053299
21030,2013,2251372351
21050,2013,5627464
22020,2013,5520572
23020,2013,250838515
32120,2013,4937413
52010,2013,639280
