,donor,amount
0,Australia,154618545
1,Austria,75374480
2,Belgium,83991937
3,Canada,540084481
4,Chile,32051
5,Czech Republic,247942
6,Denmark,72678494
7,Finland,29562688
8,France,725664191
9,Germany,1041198250
10,Greece,9823209
11,Ireland,27083746
12,Italy,40015894
13,Japan,6633783504
14,Kuwait,1107033
15,Liechtenstein,643812
16,Luxembourg,830472
17,Netherlands,340966718
18,New Zealand,5429394
19,Norway,95906449
20,Portugal,1151875
21,Spain,190608909
22,Sweden,226718306
23,Switzerland,136044335
24,United Kingdom,1541955549
25,United States of America,3719240748
